Category,Auto Part,Price
Engine Components,Spark Plug,$5–$15 each
Engine Components,Ignition Coil,$40–$120
Engine Components,Distributor Cap,$20–$50
Engine Components,Timing Belt,$50–$150
Engine Components,Serpentine Belt,$25–$75
Engine Components,Piston,$40–$100 each
Engine Components,Cylinder Head,$500–$1200
Engine Components,Head Gasket,$100–$300
Engine Components,Oil Pan,$150–$400
Engine Components,Crankshaft,$400–$800
Fuel & Air System,Fuel Pump,$150–$400
Fuel & Air System,Fuel Injector,$50–$150 each
Fuel & Air System,Carburetor,$200–$500
Fuel & Air System,Air Filter,$15–$30
Fuel & Air System,Mass Air Flow Sensor,$100–$250
Fuel & Air System,Throttle Body,$200–$500
Fuel & Air System,Gas Cap,$10–$20
Fuel & Air System,Oxygen Sensor,$50–$150
Fuel & Air System,EGR Valve,$100–$250
Fuel & Air System,PCV Valve,$10–$25
Cooling & Heating,Radiator,$300–$700
Cooling & Heating,Thermostat,$20–$50
Cooling & Heating,Water Pump,$100–$300
Cooling & Heating,Heater Core,$200–$500
Cooling & Heating,AC Compressor,$300–$600
Cooling & Heating,AC Condenser,$200–$400
Cooling & Heating,AC Evaporator,$250–$500
Cooling & Heating,Cooling Fan,$100–$250
Cooling & Heating,Radiator Hose,$15–$40
Cooling & Heating,Expansion Tank,$50–$150
Transmission & Drivetrain,Clutch Kit,$300–$800
Transmission & Drivetrain,Flywheel,$200–$500
Transmission & Drivetrain,Transmission Assembly,$1500–$3500
Transmission & Drivetrain,CV Axle,$100–$300 each
Transmission & Drivetrain,Driveshaft,$400–$800
Transmission & Drivetrain,Differential,$800–$1500
Transmission & Drivetrain,U-Joint,$20–$50
Transmission & Drivetrain,Transfer Case,$1000–$2500
Transmission & Drivetrain,Gear Shifter,$100–$300
Transmission & Drivetrain,Transmission Filter,$20–$50
Suspension & Steering,Shock Absorber,$50–$150 each
Suspension & Steering,Strut Assembly,$150–$300 each
Suspension & Steering,Coil Spring,$100–$250
Suspension & Steering,Control Arm,$100–$300
Suspension & Steering,Ball Joint,$30–$80
Suspension & Steering,Tie Rod End,$25–$75
Suspension & Steering,Steering Rack,$500–$1200
Suspension & Steering,Power Steering Pump,$150–$400
Suspension & Steering,Sway Bar Link,$20–$60
Suspension & Steering,Wheel Bearing,$50–$150
Brakes,Brake Pads (set),$40–$100
Brakes,Brake Rotors (each),$50–$150
Brakes,Brake Caliper,$100–$250
Brakes,Brake Master Cylinder,$150–$400
Brakes,Brake Booster,$200–$500
Brakes,ABS Sensor,$50–$150
Brakes,Brake Hose,$20–$50
Brakes,Parking Brake Cable,$30–$80
Brakes,Drum Brake Shoe,$40–$100
Brakes,Wheel Cylinder,$30–$70
Electrical,Alternator,$200–$400
Electrical,Starter Motor,$150–$350
Electrical,Battery,$100–$250
Electrical,Fuse Box,$50–$150
Electrical,Relay,$10–$30
Electrical,Ignition Switch,$50–$150
Electrical,Wiring Harness,$200–$600
Electrical,ECU (Engine Control Unit),$500–$1500
Electrical,Light Bulb,$5–$20
Electrical,Horn,$20–$50
Lighting,Headlight Assembly,$100–$300
Lighting,Taillight Assembly,$80–$200
Lighting,Fog Light,$50–$150
Lighting,Turn Signal Light,$30–$80
Lighting,Brake Light Bulb,$5–$15
Lighting,Interior Dome Light,$10–$25
Lighting,License Plate Light,$5–$15
Lighting,LED Conversion Kit,$50–$150
Lighting,HID Ballast,$100–$250
Lighting,Side Marker Light,$20–$50
Body & Interior,Side Mirror,$100–$250
Body & Interior,Rearview Mirror,$50–$150
Body & Interior,Door Handle,$20–$60
Body & Interior,Window Regulator,$100–$250
Body & Interior,Seat Belt,$50–$150
Body & Interior,Dashboard,$500–$1200
Body & Interior,Glove Box,$50–$150
Body & Interior,Sun Visor,$30–$80
Body & Interior,Carpet Kit,$200–$500
Body & Interior,Seat Cushion,$100–$300
Maintenance Items,Oil Filter,$10–$20
Maintenance Items,Cabin Air Filter,$15–$30
Maintenance Items,Windshield Wipers,$15–$40
Maintenance Items,Engine Oil (5 qt),$30–$60
Maintenance Items,Transmission Fluid,$20–$50
Maintenance Items,Coolant,$15–$30
Maintenance Items,Brake Fluid,$10–$20
Maintenance Items,Power Steering Fluid,$10–$20
Maintenance Items,Grease,$5–$15
Maintenance Items,Tire (each),$100–$250
Exhaust,Muffler,$100–$250
Exhaust,Catalytic Converter,$800–$1500
Exhaust,Exhaust Manifold,$300–$700
Exhaust,Exhaust Pipe,$50–$150
Exhaust,Resonator,$100–$250
Exhaust,O2 Sensor Bung,$10–$25
Exhaust,Exhaust Gasket,$10–$30
Exhaust,Exhaust Hanger,$5–$15
Exhaust,Turbocharger,$1000–$2500
Exhaust,Supercharger,$2500–$5000
Sensors,MAP Sensor,$50–$150
Sensors,Knock Sensor,$40–$100
Sensors,Coolant Temperature Sensor,$20–$50
Sensors,Crankshaft Position Sensor,$50–$150
Sensors,Camshaft Position Sensor,$50–$150
Sensors,ABS Wheel Speed Sensor,$50–$150
Sensors,Throttle Position Sensor,$40–$100
Sensors,Manifold Air Pressure Sensor,$50–$150
Sensors,Intake Air Temperature Sensor,$20–$50
Sensors,Fuel Pressure Sensor,$50–$150
Specialty Electronics,Alternator Regulator,$50–$150
Specialty Electronics,Voltage Regulator,$40–$100
Specialty Electronics,Ignition Module,$100–$250
Specialty Electronics,Starter Solenoid,$30–$80
Specialty Electronics,Instrument Cluster,$400–$800
Specialty Electronics,Speedometer,$100–$300
Specialty Electronics,Tachometer,$100–$300
Specialty Electronics,Amplifier,$150–$400
Specialty Electronics,Car Stereo Head Unit,$200–$500
Specialty Electronics,Navigation System,$500–$1500
Exhaust & Emissions,DPF (Diesel Particulate Filter),$1000–$2500
Exhaust & Emissions,NOx Sensor,$200–$500
Exhaust & Emissions,Air Pump,$150–$400
Exhaust & Emissions,Charcoal Canister,$100–$250
Exhaust & Emissions,Evaporative Emission Valve,$50–$150
Exhaust & Emissions,Exhaust Heat Shield,$50–$150
Exhaust & Emissions,Exhaust Clamp,$10–$30
Exhaust & Emissions,Exhaust Tip,$30–$80
Exhaust & Emissions,Exhaust Flex Pipe,$50–$150
Exhaust & Emissions,Exhaust Mount,$10–$25
Safety & Restraints,Airbag Module,$500–$1500
Safety & Restraints,Airbag Sensor,$100–$300
